G043231E43094N,RGI60-12.00192
G041523E43281N,RGI60-12.00193
G044269E42613N,RGI60-12.00195
G042903E43083N,RGI60-12.00196
G042402E43386N,RGI60-12.00198
G042630E42911N,RGI60-12.01273
G044330E42751N,RGI60-12.00200
G042673E43114N,RGI60-12.00201
G043300E42903N,RGI60-12.00202
G043754E42622N,RGI60-12.00203
G042131E43289N,RGI60-12.00204
G041907E42975N,RGI60-12.00205
G044138E42718N,RGI60-12.00206
G042861E43199N,RGI60-12.00208
G043577E42870N,RGI60-12.00209
G041523E43387N,RGI60-12.00210
G042700E43108N,RGI60-12.00211
G043189E43106N,RGI60-12.00212
G042405E43314N,RGI60-12.00412
G041549E43379N,RGI60-12.00214
G042425E43229N,RGI60-12.00216
G044317E42739N,RGI60-12.00217
G042992E43021N,RGI60-12.00218
G043117E43064N,RGI60-12.00880
G043194E43108N,RGI60-12.00221
G042051E43198N,RGI60-12.00222
G041099E43410N,RGI60-12.00223
G042590E42905N,RGI60-12.00224
G043969E42549N,RGI60-12.00225
G044162E42753N,RGI60-12.01057
G041406E43354N,RGI60-12.00228
G042337E43141N,RGI60-12.00229
G041652E43255N,RGI60-12.00231
G042299E43213N,RGI60-12.00232
G042658E42910N,RGI60-12.00614
G042908E43210N,RGI60-12.00234
G041404E43342N,RGI60-12.00235
G043542E42951N,RGI60-12.00237
G043717E42797N,RGI60-12.00238
G041522E43269N,RGI60-12.00239
G042654E43333N,RGI60-12.00240
G042030E43196N,RGI60-12.00241
G042694E42895N,RGI60-12.00627
G042967E43092N,RGI60-12.00243
G041966E43270N,RGI60-12.00245
G042881E43181N,RGI60-12.00246
G041987E43123N,RGI60-12.00247
G044295E42698N,RGI60-12.00250
G044695E42677N,RGI60-12.00251
G042351E43270N,RGI60-12.00252
G042626E43198N,RGI60-12.00253
G042663E43320N,RGI60-12.00254
G043106E42983N,RGI60-12.00255
G043428E42969N,RGI60-12.00256
G042159E43247N,RGI60-12.00257
G044186E42741N,RGI60-12.00258
G042693E43189N,RGI60-12.00585
G042901E43169N,RGI60-12.00260
G042565E43214N,RGI60-12.00261
G043142E43076N,RGI60-12.00262
G043414E42984N,RGI60-12.00263
G043669E42842N,RGI60-12.00264
G041811E43167N,RGI60-12.00265
G044414E42749N,RGI60-12.00266
G042877E43234N,RGI60-12.00267
G042705E43191N,RGI60-12.01301
G044297E42751N,RGI60-12.00269
G042726E43245N,RGI60-12.00830
G043394E42980N,RGI60-12.00271
G043524E42863N,RGI60-12.00272
G041871E42991N,RGI60-12.00273
G042291E43210N,RGI60-12.00274
G042386E43249N,RGI60-12.01007
G042479E42941N,RGI60-12.01006
G042916E43093N,RGI60-12.00278
G041886E43249N,RGI60-12.00280
G043193E43068N,RGI60-12.00281
G041731E43261N,RGI60-12.00282
G042550E42943N,RGI60-12.00283
G042707E43195N,RGI60-12.00284
G043662E42816N,RGI60-12.00285
G041363E43375N,RGI60-12.00286
G041825E43164N,RGI60-12.00288
G042811E43183N,RGI60-12.01172
G042456E43231N,RGI60-12.00290
G044317E42757N,RGI60-12.00291
G042522E43108N,RGI60-12.00292
G041600E43239N,RGI60-12.00294
G042806E43129N,RGI60-12.00295
G043340E42906N,RGI60-12.00296
G043124E43045N,RGI60-12.00297
G043655E42811N,RGI60-12.00298
G041825E43175N,RGI60-12.00299
G042410E43268N,RGI60-12.00300
G042084E43196N,RGI60-12.00301
G042264E43242N,RGI60-12.00302
G042844E43258N,RGI60-12.00600
G043923E42551N,RGI60-12.00304
G042903E43242N,RGI60-12.00306
G042123E43294N,RGI60-12.00308
G043470E42995N,RGI60-12.00309
G042215E43243N,RGI60-12.00310
G044133E42743N,RGI60-12.00311
G042480E43118N,RGI60-12.00312
G042120E43285N,RGI60-12.00313
G042749E43194N,RGI60-12.00691
G042920E43145N,RGI60-12.00315
G042977E43013N,RGI60-12.00316
G044387E42700N,RGI60-12.00317
G041773E43243N,RGI60-12.00319
G043482E42972N,RGI60-12.00439
G043384E42910N,RGI60-12.00321
G042021E43225N,RGI60-12.00322
G041735E43236N,RGI60-12.00323
G042538E43292N,RGI60-12.00324
G042897E43253N,RGI60-12.00325
G044499E42692N,RGI60-12.00709
G042109E43126N,RGI60-12.00327
G044302E42566N,RGI60-12.00328
G042103E43238N,RGI60-12.00329
G043203E42969N,RGI60-12.00330
G041264E43417N,RGI60-12.00331
G042612E43183N,RGI60-12.00332
G042485E43124N,RGI60-12.00333
G044312E42567N,RGI60-12.00334
G042778E43201N,RGI60-12.00335
G043528E42963N,RGI60-12.00336
G041977E43205N,RGI60-12.00337
G043398E43015N,RGI60-12.00338
G043704E42797N,RGI60-12.00447
G041127E43401N,RGI60-12.00430
G044320E42559N,RGI60-12.00341
G042587E42908N,RGI60-12.00342
G043179E42923N,RGI60-12.00343
G042541E43338N,RGI60-12.00345
G042112E43216N,RGI60-12.00641
G042419E43262N,RGI60-12.00347
G043416E43008N,RGI60-12.00348
G042028E43170N,RGI60-12.00349
G042320E43218N,RGI60-12.00351
G041201E43388N,RGI60-12.00352
G043763E42801N,RGI60-12.00353
G041673E43238N,RGI60-12.00355
G041864E43225N,RGI60-12.00356
G041672E43225N,RGI60-12.00357
G042826E43283N,RGI60-12.00468
G042697E42892N,RGI60-12.00361
G042522E42934N,RGI60-12.00362
G043291E42928N,RGI60-12.01077
G041533E43268N,RGI60-12.00365
G042215E43275N,RGI60-12.00366
G042151E43242N,RGI60-12.00367
G041821E43220N,RGI60-12.00368
G042598E42912N,RGI60-12.01080
G043462E42898N,RGI60-12.00911
G042033E43188N,RGI60-12.00371
G041708E43240N,RGI60-12.00372
G041148E43386N,RGI60-12.00373
G042838E43099N,RGI60-12.00374
G043005E43089N,RGI60-12.00744
G044716E42659N,RGI60-12.00376
G043944E42553N,RGI60-12.00377
G042531E42955N,RGI60-12.00378
G041919E43332N,RGI60-12.00379
G042178E43169N,RGI60-12.00380
G043515E42865N,RGI60-12.00381
G044467E42706N,RGI60-12.00382
G044040E42737N,RGI60-12.00383
G043580E42943N,RGI60-12.00385
G041950E43226N,RGI60-12.00386
G042933E43269N,RGI60-12.00565
G044493E42730N,RGI60-12.01299
G043332E42918N,RGI60-12.00389
G041898E43279N,RGI60-12.00390
G042452E43152N,RGI60-12.00391
G043913E42544N,RGI60-12.00392
G042512E43156N,RGI60-12.00394
G041722E43259N,RGI60-12.00395
G043199E43080N,RGI60-12.00396
G042156E43192N,RGI60-12.00397
G042096E43117N,RGI60-12.00398
G041176E43388N,RGI60-12.00399
G043567E42856N,RGI60-12.00400
G044324E42763N,RGI60-12.00401
G043693E42806N,RGI60-12.00402
G043444E42891N,RGI60-12.00403
G041553E43368N,RGI60-12.00404
G041271E43359N,RGI60-12.00405
G041580E43225N,RGI60-12.00407
G041260E43358N,RGI60-12.00408
G042033E43210N,RGI60-12.00409
G042764E42895N,RGI60-12.00410
G043771E42740N,RGI60-12.00411
G042826E43275N,RGI60-12.00414
G042076E43094N,RGI60-12.00415
G042026E43167N,RGI60-12.00416
G041324E43340N,RGI60-12.00417
G041785E43245N,RGI60-12.00418
G041090E43423N,RGI60-12.00419
G043603E42808N,RGI60-12.00420
G044138E42708N,RGI60-12.00792
G042496E42933N,RGI60-12.00422
G043803E42735N,RGI60-12.00423
G041848E43308N,RGI60-12.00424
G042908E43257N,RGI60-12.00425
G043313E43090N,RGI60-12.00429
G042078E43218N,RGI60-12.00431
G041642E43219N,RGI60-12.00433
G042500E42942N,RGI60-12.00436
G044327E42725N,RGI60-12.00437
G042550E43186N,RGI60-12.00782
G044339E42718N,RGI60-12.00442
G042960E43092N,RGI60-12.01154
G042937E43280N,RGI60-12.00444
G041801E43193N,RGI60-12.00446
G043120E43067N,RGI60-12.01070
G042501E43334N,RGI60-12.00730
G042092E43150N,RGI60-12.00451
G044299E42702N,RGI60-12.00452
G041915E43310N,RGI60-12.00453
G041426E43326N,RGI60-12.00454
G042108E43143N,RGI60-12.00455
G041225E43288N,RGI60-12.00456
G042258E43208N,RGI60-12.00457
G043684E42778N,RGI60-12.00458
G044273E42752N,RGI60-12.00459
G041545E43255N,RGI60-12.00460
G042356E43267N,RGI60-12.00461
G042133E43198N,RGI60-12.00462
G042497E43168N,RGI60-12.00923
G042844E43279N,RGI60-12.00464
G042478E43166N,RGI60-12.00465
G044276E42756N,RGI60-12.00466
G041265E43363N,RGI60-12.00467
G042986E43298N,RGI60-12.00469
G042854E43116N,RGI60-12.00470
G043473E42900N,RGI60-12.00471
G042250E43237N,RGI60-12.00473
G041588E43250N,RGI60-12.00474
G041861E43236N,RGI60-12.00475
G042742E43248N,RGI60-12.00476
G043071E43158N,RGI60-12.00655
G042404E43354N,RGI60-12.00484
G043658E42822N,RGI60-12.00480
G041221E43449N,RGI60-12.00481
G042460E43239N,RGI60-12.00482
G042613E43151N,RGI60-12.00483
G043335E42911N,RGI60-12.00485
G042633E43131N,RGI60-12.01120
G042256E43250N,RGI60-12.00488
G042757E42910N,RGI60-12.00489
G044416E42704N,RGI60-12.00490
G041902E43268N,RGI60-12.00491
G041198E43289N,RGI60-12.00493
G043596E42832N,RGI60-12.00494
G041817E43181N,RGI60-12.00495
G042967E43132N,RGI60-12.01105
G042855E43273N,RGI60-12.00497
G042564E42937N,RGI60-12.00498
G044321E42750N,RGI60-12.00500
G042950E43056N,RGI60-12.00501
G042997E43135N,RGI60-12.00502
G043583E42820N,RGI60-12.00503
G041892E43253N,RGI60-12.00504
G042510E43124N,RGI60-12.00506
G042487E43376N,RGI60-12.00610
G041897E43250N,RGI60-12.00508
G042581E42915N,RGI60-12.01226
G043145E42955N,RGI60-12.00510
G042079E43111N,RGI60-12.00511
G041861E43206N,RGI60-12.00513
G042601E43181N,RGI60-12.00514
G041096E43402N,RGI60-12.00515
G043474E42963N,RGI60-12.00516
G043638E42796N,RGI60-12.00517
G041576E43383N,RGI60-12.00518
G043878E42812N,RGI60-12.00519
G043105E43134N,RGI60-12.01146
G043183E42984N,RGI60-12.01285
G041839E43324N,RGI60-12.00523
G041412E43329N,RGI60-12.00524
G043080E42978N,RGI60-12.00525
G041659E43231N,RGI60-12.00526
G044390E42722N,RGI60-12.00531
G044040E42756N,RGI60-12.00532
G042438E43257N,RGI60-12.00533
G043411E43002N,RGI60-12.00534
G043421E42899N,RGI60-12.00535
G042301E43106N,RGI60-12.00536
G041240E43398N,RGI60-12.00537
G042209E43167N,RGI60-12.00538
G042148E43224N,RGI60-12.00539
G043770E42808N,RGI60-12.00540
G044410E42548N,RGI60-12.00541
G041249E43360N,RGI60-12.00543
G042479E43178N,RGI60-12.00545
G042792E43194N,RGI60-12.00546
G041862E43229N,RGI60-12.00547
G041908E43333N,RGI60-12.00548
G042970E43301N,RGI60-12.00549
G043156E43169N,RGI60-12.00550
G044235E42614N,RGI60-12.00832
G041570E43365N,RGI60-12.00553
G042474E42946N,RGI60-12.00554
G043266E42917N,RGI60-12.00555
G041174E43410N,RGI60-12.00556
