rgiid,period,area,dhdt,err_dhdt,dvoldt,err_dvoldt,dmdt,err_dmdt,dmdtda,err_dmdtda,perc_area_meas,perc_area_res,valid_obs,valid_obs_py,reg
RGI60-06.00001,2012-01-01_2016-01-01,4903000.0,0.1763,0.6549,864419.0,3211245.0,0.000735,0.00273,0.1499,0.5568,1.0,1.0,6.73,4.0,6
RGI60-06.00001,2013-01-01_2014-01-01,4903000.0,0.127,2.7632,622686.0,13547894.0,0.000529,0.011516,0.108,2.3487,1.0,1.0,1.0,1.0,6
RGI60-06.00001,2014-01-01_2015-01-01,4903000.0,0.2565,2.7419,1257677.0,13443787.0,0.001069,0.011427,0.218,2.3307,1.0,1.0,1.19,1.0,6
RGI60-06.00001,2014-01-01_2016-01-01,4903000.0,0.2912,1.382,1427522.0,6776397.0,0.001213,0.005761,0.2475,1.1749,1.0,1.0,3.56,2.0,6
RGI60-06.00001,2015-01-01_2016-01-01,4903000.0,0.3258,2.5886,1597367.0,12692215.0,0.001358,0.010789,0.2769,2.2005,1.0,1.0,2.37,1.0,6
RGI60-06.00001,2015-01-01_2020-01-01,4903000.0,0.4421,0.5445,2167489.0,2670985.0,0.001842,0.002274,0.3758,0.464,1.0,1.0,11.45,4.02,6
RGI60-06.00001,2016-01-01_2017-01-01,4903000.0,0.2127,2.6018,1042636.0,12756703.0,0.000886,0.010843,0.1808,2.2116,1.0,1.0,5.49,1.0,6
RGI60-06.00001,2016-01-01_2018-01-01,4903000.0,0.33,1.3824,1617775.0,6778052.0,0.001375,0.005762,0.2805,1.1753,1.0,1.0,7.05,2.0,6
RGI60-06.00001,2016-01-01_2020-01-01,4903000.0,0.4711,0.6862,2310019.0,3365597.0,0.001964,0.002864,0.4005,0.5844,1.0,1.0,9.08,3.02,6
RGI60-06.00001,2017-01-01_2018-01-01,4903000.0,0.4473,2.755,2192914.0,13508147.0,0.001864,0.011483,0.3802,2.342,1.0,1.0,1.56,1.0,6
RGI60-06.00001,2018-01-01_2019-01-01,4903000.0,0.582,2.7761,2853383.0,13611892.0,0.002425,0.011571,0.4947,2.3601,1.0,1.0,0.02,0.02,6
RGI60-06.00001,2018-01-01_2020-01-01,4903000.0,0.6123,1.4452,3002263.0,7086765.0,0.002552,0.006026,0.5205,1.2293,1.0,1.0,2.03,1.02,6
RGI60-06.00001,2019-01-01_2020-01-01,4903000.0,0.6427,2.7562,3151143.0,13514304.0,0.002678,0.011489,0.5463,2.3433,1.0,1.0,2.02,1.0,6
RGI60-06.00002,2000-01-01_2001-01-01,1897000.0,-0.9267,3.3657,-1757976.0,6385391.0,-0.001494,0.005429,-0.7877,2.862,1.0,1.0,0.39,0.39,6
RGI60-06.00002,2000-01-01_2002-01-01,1897000.0,-0.9198,1.6437,-1744817.0,3119341.0,-0.001483,0.002654,-0.7818,1.3994,1.0,1.0,1.34,1.21,6
RGI60-06.00002,2000-01-01_2004-01-01,1897000.0,-0.8621,0.8188,-1635493.0,1555638.0,-0.00139,0.001326,-0.7328,0.7,1.0,1.0,4.48,3.21,6
RGI60-06.00002,2000-01-01_2005-01-01,1897000.0,-0.8331,0.6535,-1580458.0,1242439.0,-0.001343,0.00106,-0.7082,0.5602,1.0,1.0,4.51,3.24,6
RGI60-06.00002,2000-01-01_2010-01-01,1897000.0,-0.6993,0.3402,-1326611.0,649000.0,-0.001128,0.000557,-0.5944,0.2954,1.0,1.0,6.08,4.74,6
RGI60-06.00002,2000-01-01_2020-01-01,1897000.0,-0.37,0.1697,-701816.0,324034.0,-0.000597,0.000279,-0.3145,0.1478,1.0,1.0,22.59,13.04,6
RGI60-06.00002,2001-01-01_2002-01-01,1897000.0,-0.9128,3.1238,-1731658.0,5926598.0,-0.001472,0.005039,-0.7759,2.6564,1.0,1.0,0.95,0.82,6
RGI60-06.00002,2002-01-01_2003-01-01,1897000.0,-0.8529,3.0733,-1617929.0,5830686.0,-0.001375,0.004957,-0.725,2.6134,1.0,1.0,1.95,1.0,6
RGI60-06.00002,2002-01-01_2004-01-01,1897000.0,-0.8045,1.5131,-1526168.0,2871478.0,-0.001297,0.002442,-0.6838,1.288,1.0,1.0,3.14,2.0,6
RGI60-06.00002,2003-01-01_2004-01-01,1897000.0,-0.7561,3.0605,-1434408.0,5806194.0,-0.001219,0.004936,-0.6427,2.6022,1.0,1.0,1.19,1.0,6
